,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
6313,0,1,306,306,153,306,306,51,102,153,306,102,102,306,306,306,153,153,102,-1,102,306,306,153,306,153,51,102,153,306,51,102,306,306,306,306,153,34,-1,34,306,306,306,306,306,102,6,18,306,51,102,306,306,306,306,153,6,-1,51,306,306,153,306,153,51,102,153,306,51,102,306,306,306,306,306,102,-1,102,306,306,306,153,153,51,102,306,306,102,102,306,306,306,153,153,34,-1,102,306,306,306
1577,0,1,4100,4100,2050,2050,410,4100,4100,2050,164,4100,4100,2050,410,4100,1025,410,4100,2050,2050,2050,2050,2050,2050,1025,4100,4100,4100,4100,2050,1025,820,2050,4100,4100,205,1025,4100,820,4100,820,4100,2050,820,2050,4100,2050,4100,2050,4100,4100,2050,4100,2050,4100,2050,820,2050,4100,820,4100,820,4100,2050,410,4100,4100,1025,820,2050,2050,4100,4100,4100,4100,2050,2050,1025,2050,2050,1025,50,-1,5,2050,4100,205,2050,4100,4100,164,1025,4100,4100,205,2050,2050,4100,4100
1909,0,1,3900,3900,1950,975,390,3900,1300,1950,52,3900,1300,1950,130,1300,975,130,1300,975,1950,650,650,150,150,975,3900,1300,3900,3900,1950,975,780,650,3900,3900,195,1950,1300,780,3900,260,3900,1950,780,1950,1300,1950,3900,1950,3900,3900,325,3900,1950,300,150,260,650,3900,780,1300,260,3900,650,130,3900,1300,1950,260,1950,650,3900,3900,3900,3900,1950,1950,50,-1,25,975,1950,3900,195,1950,3900,65,975,1300,3900,52,975,1300,1300,195,650,325,3900,3900
2407,0,1,234,234,117,117,234,78,78,117,234,39,78,234,234,234,117,234,26,-1,39,234,234,9,18,117,39,78,234,234,78,78,234,234,234,234,117,78,-1,78,234,234,117,234,117,39,78,234,234,39,78,234,234,234,234,9,6,-1,26,234,234,234,117,234,39,78,234,234,78,78,234,234,234,117,234,78,-1,78,18,-1,9,117,234,39,78,234,234,39,78,234,234,234,117,234,26,-1,26,234,234,117
2573,0,1,2132,2132,1066,2132,1066,1066,2132,1066,533,1066,2132,1066,2132,1066,533,1066,2132,2132,2132,2132,2132,164,1066,1066,2132,2132,533,1066,164,2132,2132,2132,2132,2132,533,1066,1066,2132,1066,2132,1066,1066,533,2132,1066,1066,2132,533,2132,2132,82,-1,82,2132,2132,1066,2132,1066,1066,2132,1066,533,1066,2132,1066,2132,533,533,1066,2132,2132,2132,2132,2132,164,533,1066,2132,2132,533,26,-1,52,2132,2132,2132,2132,1066,1066,1066,2132,1066,2132,533,1066,1066,2132,533
3071,0,1,2378,1189,1189,2378,2378,1189,2378,1189,2378,2378,1189,2378,2378,2378,1189,1189,2378,2378,2378,1189,2378,2378,2378,1189,1189,1189,1189,1189,2378,2378,2378,2378,2378,2378,1189,2378,2378,2378,2378,1189,2378,2378,2378,2378,2378,2378,1189,1189,2378,1189,2378,2378,2378,2378,2378,2378,82,-1,82,2378,2378,1189,1189,2378,2378,2378,1189,2378,2378,2378,2378,2378,2378,1189,2378,2378,1189,2378,2378,1189,58,-1,29,2378,1189,1189,2378,2378,2378,2378,2378,2378,1189,1189,2378,2378,2378,2378
5671,0,1,2460,410,1230,1230,2460,2460,820,205,2460,164,615,246,246,1230,615,2460,2460,1230,410,492,1230,820,820,615,2460,410,820,492,2460,2460,492,820,410,2460,1230,820,820,1230,492,410,1230,2460,2460,1230,1230,246,246,1230,164,2460,410,820,2460,2460,1230,1230,410,2460,82,-1,82,2460,410,1230,1230,2460,2460,820,205,2460,164,1230,246,246,1230,615,2460,2460,1230,205,12,-1,20,820,615,2460,410,820,492,2460,2460,492,820,205,2460,1230,820,820
3569,0,1,2870,1435,1435,410,2870,2870,2870,1435,1435,2870,1435,2870,410,2870,1435,410,2870,2870,574,2870,2870,574,2870,205,574,1435,2870,1435,287,2870,574,2870,574,2870,1435,287,1435,574,1435,574,2870,2870,2870,574,410,2870,287,1435,2870,574,2870,2870,410,2870,2870,410,2870,2870,2870,2870,2870,2870,1435,2870,410,2870,2870,2870,82,-1,82,2870,2870,1435,410,1435,2870,2870,2870,1435,70,-1,70,410,1435,1435,410,2870,1435,574,2870,2870,574,1435,410,574,2870,2870
3901,0,1,5100,1700,2550,2550,510,5100,1700,850,68,5100,5100,850,170,5100,1275,510,5100,1275,2550,2550,850,850,850,1275,5100,1700,5100,5100,850,850,1020,2550,1700,5100,255,850,5100,340,5100,1020,1700,2550,1020,2550,300,150,5100,2550,5100,5100,1275,5100,2550,5100,75,60,1275,5100,1020,1700,1020,5100,850,510,1700,5100,1275,340,2550,2550,1700,1700,5100,5100,850,2550,2550,425,850,425,2550,5100,510,2550,5100,510,2550,1700,1700,204,1275,1700,1700,170,2550,1275,5100,5100
1079,0,1,1914,638,957,638,1914,1914,638,319,1914,1914,1914,1914,638,319,957,957,1914,957,1914,957,319,1914,638,319,957,638,1914,87,174,1914,1914,1914,1914,957,957,174,174,1914,638,1914,638,638,1914,638,1914,1914,1914,957,1914,1914,638,638,1914,1914,1914,1914,22,-1,33,1914,319,1914,319,1914,58,-1,29,1914,638,957,638,1914,1914,638,319,1914,1914,1914,1914,319,638,1914,957,1914,957,1914,957,638,1914,638,638,1914,638,1914,174,174,1914,1914
