,0,1,2,3,4
46367,0,1,2871,22968,2871
49163,0,1,6090,24360,3045
51959,0,1,1073,25752,1073
52891,0,1,6554,26216,3277
53357,0,1,2204,13224,1102
30353,0,1,119,2142,119
31309,0,1,15470,7735,7735
32743,0,1,476,952,238
33221,0,1,16422,16422,8211
35611,0,1,17612,17612,8806
36089,0,1,1785,5950,1785
37523,0,1,6188,9282,3094
38957,0,1,19278,19278,9639
39913,0,1,9877,9877,9877
41347,0,1,20468,20468,10234
42781,0,1,21182,10591,10591
43259,0,1,21420,5355,10710
45649,0,1,11305,11305,11305
46127,0,1,11424,1904,5712
47083,0,1,3332,3332,1666
47561,0,1,11781,23562,11781
50429,0,1,3570,3570,1785
53297,0,1,4403,26418,4403
54253,0,1,26894,13447,13447
54731,0,1,9044,6783,4522
55687,0,1,3451,27608,3451
30607,0,1,168,2520,84
31571,0,1,1560,1560,780
33017,0,1,408,2040,204
33499,0,1,552,2760,276
35909,0,1,888,4440,444
36391,0,1,120,600,60
37837,0,1,312,1560,156
39283,0,1,648,3240,324
40247,0,1,1992,9960,996
41693,0,1,1032,5160,516
43139,0,1,2136,10680,1068
43621,0,1,360,360,180
46031,0,1,2280,2280,1140
46513,0,1,96,240,48
47477,0,1,1176,5880,588
47959,0,1,792,3960,396
50851,0,1,840,840,420
53743,0,1,888,4440,444
54707,0,1,2712,13560,1356
55189,0,1,456,2280,228
56153,0,1,696,3480,348
57599,0,1,2856,14280,1428
31877,0,1,350,15750,175
32881,0,1,650,1625,325
34387,0,1,1700,17000,850
34889,0,1,3450,17250,1725
37399,0,1,3700,18500,1850
37901,0,1,150,250,75
39407,0,1,1300,9750,650
40913,0,1,4050,20250,2025
41917,0,1,4150,10375,2075
43423,0,1,4300,21500,2150
44929,0,1,4450,11125,2225
45431,0,1,900,1125,450
47941,0,1,950,2375,475
48443,0,1,2400,2000,1200
49447,0,1,4900,24500,2450
49949,0,1,4950,24750,2475
52961,0,1,1050,5250,525
55973,0,1,1850,27750,925
56977,0,1,5650,14125,2825
57479,0,1,1900,7125,950
58483,0,1,1450,29000,725
59989,0,1,5950,14875,2975
60491,0,1,600,3000,300
32639,0,1,112,16128,56
33667,0,1,1040,16640,520
35209,0,1,272,4352,136
35723,0,1,1104,17664,552
38293,0,1,592,9472,296
38807,0,1,240,6400,120
40349,0,1,208,9984,104
41891,0,1,1296,20736,648
42919,0,1,1328,21248,664
44461,0,1,688,11008,344
46003,0,1,1424,22784,712
46517,0,1,720,11520,360
49087,0,1,1520,24320,760
49601,0,1,96,256,48
50629,0,1,784,12544,392
51143,0,1,1584,25344,792
54227,0,1,1680,26880,840
57311,0,1,592,28416,296
58339,0,1,1808,28928,904
58853,0,1,304,14592,152
59881,0,1,464,7424,232
61423,0,1,1904,30464,952
61937,0,1,48,3840,24
64507,0,1,400,32000,200
33401,0,1,917,16506,917
34453,0,1,17030,8515,8515
36031,0,1,8908,17816,4454
36557,0,1,18078,18078,9039
39187,0,1,19388,19388,9694
39713,0,1,1965,6550,1965
41291,0,1,6812,10218,3406
42869,0,1,21222,21222,10611
43921,0,1,10873,10873,10873
45499,0,1,22532,22532,11266
47077,0,1,23318,11659,11659
47603,0,1,23580,5895,11790
50233,0,1,12445,12445,12445
50759,0,1,12576,2096,6288
51811,0,1,25676,25676,12838
52337,0,1,12969,25938,12969
55493,0,1,27510,27510,13755
58649,0,1,4847,29082,4847
59701,0,1,29606,14803,14803
60227,0,1,9956,7467,4978
61279,0,1,3799,30392,3799
62857,0,1,15589,15589,15589
63383,0,1,3144,15720,1572
66013,0,1,6550,16375,3275
67591,0,1,2096,33536,1048
34163,0,1,1876,16884,938
35239,0,1,17420,17420,8710
36853,0,1,4556,9112,2278
37391,0,1,18492,18492,9246
40081,0,1,9916,9916,4958
40619,0,1,4020,6700,2010
42233,0,1,3484,10452,1742
43847,0,1,21708,21708,10854
44923,0,1,22244,22244,11122
46537,0,1,11524,11524,5762
48151,0,1,23852,23852,11926
48689,0,1,12060,12060,6030
51379,0,1,25460,25460,12730
51917,0,1,6432,1072,3216
52993,0,1,13132,13132,6566
53531,0,1,26532,26532,13266
56759,0,1,28140,28140,14070
