,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
631.0,0,1,45,630,45,35,70,630,15,315,315,90,630,630,630,630,45,315,63,630,315,7,90,315,126,35,630,210,42,315,14,315,9,21,35,126,35,126,70,105,21,63,315,3,6,315,315,45,210,315,63,630,70,630,630,126,630,45,21,630,630,630,21,630,15,630,315,315,315,30,630,315,315,90,210,630,630,315,63,15,315,315,105,35,315,315,45,630,90,63,315,63,105,630,45,630,630,315,105,630
641.0,0,1,64,640,32,64,640,320,64,320,32,160,640,20,160,640,16,640,80,640,64,128,320,640,640,32,320,640,320,128,640,128,64,640,640,160,320,160,640,640,16,640,128,640,40,80,640,640,640,160,64,320,160,640,640,320,80,80,128,320,640,128,128,80,32,320,640,128,640,40,320,160,160,320,320,640,640,64,640,10,64,160,640,640,128,640,640,80,320,320,320,320,640,320,640,640,640,640,320,320
643.0,0,1,214,214,107,214,107,321,214,107,107,642,214,642,642,107,107,642,214,642,214,642,321,321,107,107,321,214,321,321,214,321,214,321,321,642,107,642,321,321,107,642,321,214,642,214,642,642,214,321,214,321,642,321,107,321,642,321,642,642,107,642,642,321,107,321,642,214,642,642,321,214,214,642,321,214,642,214,642,642,214,107,321,321,642,321,107,642,321,321,107,642,321,642,321,321,107,321,642,642
647.0,0,1,323,323,323,646,323,323,323,323,646,646,323,323,323,646,323,323,323,646,646,323,646,646,323,323,323,323,323,323,646,323,323,646,323,646,323,646,646,323,34,323,323,17,646,646,646,646,323,323,323,323,323,17,323,19,19,646,323,646,646,646,323,323,323,646,646,17,323,646,646,646,323,646,34,323,646,646,323,323,646,323,323,323,323,646,19,323,646,646,646,323,34,323,646,323,19,323,323,38
653.0,0,1,652,652,326,652,163,163,652,326,326,326,652,326,652,163,163,652,652,163,652,652,652,326,326,326,652,652,326,652,652,163,652,652,326,652,163,652,652,652,163,652,163,652,163,652,652,163,652,163,652,163,163,326,326,652,652,652,163,326,326,652,652,326,326,652,326,652,652,652,326,652,652,163,163,652,326,326,326,326,652,163,163,652,652,326,326,326,652,652,163,326,163,652,652,652,163,652,652,163
659.0,0,1,658,329,329,329,658,658,658,329,658,329,7,329,47,47,329,329,658,329,329,658,658,329,94,329,658,329,658,658,658,94,658,329,658,658,329,329,658,329,658,94,329,94,47,329,94,94,329,329,94,329,329,94,658,7,329,47,329,329,329,329,329,94,329,329,658,658,329,329,329,658,658,47,658,329,329,658,658,329,47,329,329,94,658,47,329,658,658,329,658,94,329,658,329,329,658,658,658,329
661.0,0,1,660,22,330,330,660,44,220,11,220,33,15,220,330,165,165,330,660,220,33,44,220,660,220,165,330,22,660,66,220,110,132,66,660,660,330,660,33,220,660,165,165,330,330,330,110,330,330,22,60,165,132,330,660,30,55,220,220,110,66,60,132,44,110,60,220,220,11,660,55,20,220,165,330,330,660,132,165,660,110,11,132,220,660,55,220,33,660,132,220,110,660,55,44,660,132,165,660,33
673.0,0,1,48,168,24,672,336,112,16,84,224,672,28,84,168,224,12,672,112,672,672,48,224,14,336,336,336,56,336,48,672,672,48,224,672,672,168,28,672,168,672,224,12,672,672,672,336,672,168,56,84,672,56,14,336,42,28,96,4,96,672,672,224,336,8,224,672,672,224,168,224,224,336,42,336,336,224,96,112,224,224,42,672,336,16,56,224,112,672,336,672,336,168,224,224,56,112,168,336,672
677.0,0,1,676,676,338,676,169,676,676,338,338,676,52,169,169,169,169,676,676,676,676,338,169,676,338,338,4,676,676,676,676,676,676,338,169,169,169,338,169,676,13,169,676,676,676,676,169,676,676,338,676,338,338,676,338,169,338,338,338,169,338,676,338,676,338,676,52,676,52,338,676,169,676,676,676,676,676,338,169,338,676,169,676,676,169,169,169,169,338,676,169,676,676,169,338,169,169,338,676,676
683.0,0,1,22,31,11,682,682,682,22,31,341,682,341,682,341,682,11,682,682,341,682,682,341,682,682,341,341,31,682,341,341,682,22,682,341,341,341,62,682,682,341,682,341,682,682,682,31,682,341,341,682,682,682,341,682,341,341,341,682,341,682,341,341,682,11,341,341,31,682,682,682,341,682,682,341,341,31,341,341,682,62,31,341,341,682,341,341,341,341,682,341,341,682,682,341,682,682,341,682,682
691.0,0,1,230,690,115,115,345,345,230,345,230,138,690,690,138,690,115,690,690,46,23,46,345,138,345,115,345,230,345,345,69,230,46,115,69,345,345,345,115,115,230,690,115,345,690,69,345,345,138,345,230,23,690,138,115,690,690,345,138,345,690,69,115,345,115,690,230,230,690,115,690,115,138,230,690,690,230,690,230,345,115,345,345,46,230,690,690,46,345,5,690,138,690,345,690,230,345,345,690,690
701.0,0,1,700,700,350,350,70,175,700,350,700,700,700,25,700,700,175,70,700,7,35,700,175,140,175,175,700,700,350,175,175,350,140,175,700,70,35,700,700,700,700,350,350,350,28,175,50,140,700,175,700,700,350,700,25,700,28,700,700,700,700,140,700,10,350,14,700,700,175,350,700,700,100,700,50,140,350,140,350,700,350,175,700,175,100,175,700,140,350,5,700,175,700,20,25,350,50,350,20,100
709.0,0,1,708,177,354,354,708,177,236,177,708,354,118,236,708,354,177,708,236,177,59,177,708,708,708,177,354,59,118,177,236,708,708,354,354,354,354,708,708,708,708,708,236,354,59,118,177,118,177,177,236,708,708,236,708,177,708,177,236,59,177,708,177,59,118,708,236,177,236,708,236,708,708,236,177,59,118,354,354,708,354,177,59,236,354,708,708,59,708,708,708,12,236,708,708,354,4,708,236,118
719.0,0,1,359,359,359,359,359,359,359,359,359,718,359,359,359,359,359,718,359,718,359,359,718,718,359,359,359,359,359,359,359,359,359,718,718,359,359,359,718,359,359,718,359,718,718,359,718,718,359,359,359,718,359,718,359,718,359,718,359,359,359,359,359,359,359,359,718,718,718,718,359,718,359,718,359,359,718,718,359,718,359,359,718,359,359,718,718,359,718,718,359,359,718,359,718,718,359,718,359,718
727.0,0,1,121,242,121,726,242,363,121,121,726,242,242,363,363,363,121,363,121,726,726,726,242,121,242,363,363,242,363,66,363,726,121,121,33,726,121,726,726,726,726,242,726,363,242,726,11,363,242,363,363,726,363,121,242,363,363,363,726,726,363,363,726,363,121,22,121,363,363,242,726,121,121,363,726,726,726,726,726,22,726,121,22,726,726,726,363,363,242,726,66,121,121,363,363,121,242,363,363,242
733.0,0,1,244,183,122,244,732,732,244,183,61,244,366,732,366,732,61,366,732,122,244,732,61,732,732,122,366,61,732,244,183,183,244,732,732,183,366,183,244,244,122,366,366,732,244,732,183,122,183,366,244,366,732,366,244,122,183,366,61,366,732,183,732,244,122,183,183,244,183,732,732,732,732,366,732,366,61,183,122,366,244,183,732,366,732,732,366,732,122,183,183,122,732,61,244,244,732,366,732,732
