,0,1,2,3,4,5,6,7,8,9
29651,0,1,14652,14652,7326,1221,7326,7326,4884,7326
30049,0,1,495,4950,495,825,4950,4950,165,2475
31243,0,1,5148,2574,2574,1716,5148,5148,1716,1287
32437,0,1,1782,1782,891,594,594,1782,594,891
33233,0,1,8217,16434,8217,5478,16434,8217,2739,8217
34427,0,1,17028,17028,8514,5676,8514,17028,5676,8514
35621,0,1,17622,17622,8811,2937,17622,17622,5874,8811
36019,0,1,1980,990,990,165,1980,396,660,495
38009,0,1,9405,18810,9405,627,3762,990,3135,9405
38407,0,1,3168,1584,1584,2112,3168,792,1056,792
39203,0,1,19404,19404,9702,6468,1386,9702,6468,9702
26797,0,1,210,630,105,210,630,630,70,315
27641,0,1,2730,2730,1365,455,2730,2730,910,1365
28907,0,1,7140,14280,3570,4760,14280,7140,2380,7140
29329,0,1,4830,4830,2415,2415,2415,4830,1610,2415
31439,0,1,15540,15540,7770,1295,3885,7770,5180,7770
31861,0,1,210,1050,105,525,1050,1050,70,525
33127,0,1,5460,2730,2730,5460,5460,5460,1820,1365
34393,0,1,5670,5670,2835,1890,945,5670,1890,2835
35237,0,1,17430,17430,8715,5810,8715,17430,5810,8715
36503,0,1,18060,18060,9030,6020,4515,18060,6020,9030
37769,0,1,18690,18690,9345,3115,18690,18690,6230,9345
38191,0,1,1260,630,630,105,420,420,420,315
40301,0,1,3990,3990,1995,665,1995,210,1330,1995
40723,0,1,3360,1680,1680,6720,3360,840,1120,840
41567,0,1,2940,2940,1470,980,210,1470,980,1470
41989,0,1,6930,6930,3465,1155,6930,6930,2310,3465
28321,0,1,259,4662,259,1554,4662,4662,259,2331
29213,0,1,4810,14430,2405,14430,14430,2405,4810,7215
30551,0,1,2516,15096,1258,15096,15096,2516,2516,7548
30997,0,1,5106,5106,2553,5106,5106,2553,1702,2553
33227,0,1,148,444,74,222,222,74,148,222
33673,0,1,555,5550,555,5550,5550,5550,185,2775
35011,0,1,1924,2886,962,5772,5772,1924,1924,1443
36349,0,1,5994,5994,2997,1998,1998,5994,1998,2997
37241,0,1,3071,18426,3071,18426,18426,3071,3071,9213
38579,0,1,6364,19092,3182,19092,9546,6364,6364,9546
39917,0,1,6586,19758,3293,19758,19758,6586,6586,9879
40363,0,1,6660,3330,3330,1110,2220,444,2220,1665
42593,0,1,3515,21090,3515,4218,4218,370,3515,10545
43039,0,1,3552,1776,1776,7104,3552,888,1184,888
